IPN,Part Number,Description,Value,Symbol,Footprint,Manufacturer,Manufacturer Part Number,Suplier URL,Manufacturer Alternative,MPN Alternative,Manufacturer Alternative 2,MPN Alternative 2,Type,Vout,VinRange,Iout,Efficiency,Dropout,Freq,Package,ThermalR,IQ,Protections,TempRange,RoHS,Datasheet,Created By,Created On,Approved By,Approved On,Revision,Comments,Cost_1,Cost_10,Cost_100,Cost_500,Cost_1000,Cost_2500,Cost_5000
IPN_U-????,BQ25170J,"800 mA linear battery charger for 1-cell Li-Ion/Li-Po/LiFePO4, integrated PG and CHG status outputs",BQ25170J,Battery_management:BQ25170J,Packages_SO_SON:WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm,Texas Instruments,BQ25170J,https://www.mouser.es/es/ProductDetail/Texas-Instruments/BQ25170JDSGR?qs=A6eO%252BMLsxmRHugWPcRNj7A%3D%3D,,,,,Li-Po/Li-Ion linear charger,4.05/4.1/4.2/4.35/4.4 V (5 selectable via VSET resistor),3.0-6.6 V,10-800 mA (ISET-programmable charge current),,425 mV typ @ IOUT=500mA,,"WSON-8, 2.0x2.0 mm","75.2 C/W (RthJA, JEDEC)","0.35 uA typ (battery-side, charge disabled)","IN OVP 6.6V, VSET-based OUT OVP, 1000mA OCP, 125C thermal regulation/150C thermal shutdown, OUT short-circuit, VSET/ISET short/open pin protection",-40 to 125 C (TJ),Yes,https://www.ti.com/lit/gpn/BQ25170J,AMR,2026-08-29,,,,PG and CHG/charging-status outputs,"0,869","0,625","0,497","0,445","0,433",,
IPN_U-????,TPS62840DLCR,"60 nA IQ synchronous buck converter, DCS-Control, 750 mA IOUT, VSET-selectable output",TPS62840DLCR,Power_DCDC:TPS62840DLCR,Packages_SO_SON:Texas_VSON-HR-8_1.5x2mm_P0.5mm,Texas Instruments,TPS62840DLCR,https://www.mouser.es/es/ProductDetail/Texas-Instruments/TPS62840DLCR?qs=%252B6g0mu59x7L1%2Fxo1joT%252Bvg%3D%3D,,,,,Synchronous buck DC-DC,1.8-3.3 V in 100mV steps (16 selectable via VSET resistor),1.8-6.5 V,up to 750 mA,"80% typ @ IOUT=1uA (3.6VIN to 1.8VOUT); higher at nominal load, see datasheet curves",,1.8 MHz typ (PWM mode),"SON-8 (DLC), 1.5x2 mm","105.6 C/W (RthJA, JEDEC PCB)","60 nA typ (operating), 120 nA (100% duty-cycle/PFM), 25 nA (shutdown)","cycle-by-cycle switch current limit/short-circuit, 160C thermal shutdown (5C hysteresis), UVLO",-40 to 125 C (TJ),Yes,https://www.ti.com/lit/gpn/TPS62840,AMR,2026-08-29,,,,,"1,85","1,37","1,12","1,01","0,972",,
IPN_U-????,TPS62842DGRR,"60 nA IQ synchronous buck converter, DCS-Control, 750 mA IOUT, HVSSOP-8 package",TPS62842DGRR,Power_DCDC:TPS62842DGRR,Packages_SO_SON:HVSSOP-8-1EP_3x3mm_P0.65mm_EP1.57x1.89mm,Texas Instruments,TPS62842DGRR,https://www.mouser.es/es/ProductDetail/Texas-Instruments/TPS62842DGRR?qs=xZ%2FP%252Ba9zWqbpi7pDQDs52A%3D%3D,,,,,Synchronous buck DC-DC,"1.8V, 2.0V, 2.2V, 2.4-3.6V in 100mV steps",1.8-6.5 V,up to 750 mA,80% typ @ IOUT=1uA (3.6VIN to 1.8VOUT); same electricals as TPS62840,,1.8 MHz typ (PWM mode),"HVSSOP-8 (DGR), 3x3 mm body","54.4 C/W (RthJA, JEDEC PCB)","60 nA typ (operating), 120 nA (100% duty-cycle/PFM), 25 nA (shutdown)","cycle-by-cycle switch current limit/short-circuit, 160C thermal shutdown (5C hysteresis), UVLO",-40 to 125 C (TJ),Yes,https://www.ti.com/lit/gpn/TPS62840,AMR,2026-08-29,,,,,"2,01","1,49","1,22","1,12","1,09",,
