IPN,Part Number,Description,Value,Symbol,Footprint,Manufacturer,Manufacturer Part Number,Suplier URL,Manufacturer Alternative,MPN Alternative,Manufacturer Alternative 2,MPN Alternative 2,Type,Vwm,Vc,IppMax,Capacitance,Package,TempRange,RoHS,Datasheet,Created By,Created On,Approved By,Approved On,Revision,Comments,Cost_1,Cost_10,Cost_100,Cost_500,Cost_1000,Cost_2500,Cost_5000
IPN_D-????,USBLC6-2P6,"Very low capacitance ESD protection array, 2 data lines + VBUS clamp, SOT-666",USBLC6-2P6,ESD:USBLC6-2P6,Packages_TO_SOT:SOT-666,STMicroelectronics,USBLC6-2P6,https://www.mouser.es/es/ProductDetail/STMicroelectronics/USBLC6-2P6?qs=6ARB0lp6jlViGcbUSvj1Mw%3D%3D,,,,,TVS diode array (2 data-line + VBUS ESD protection),5 V,12 V max,5 A,2.5 pF,SOT-666,-40 to +125 C,Yes,https://www.st.com/resource/en/datasheet/usblc6-2.pdf,AMR,2026-08-29,,,,ESD protection for the USB-C connector.,"0,5220","0,3220","0,2060","0,1700","0,1380",,
IPN_D-????,D3V3XA4B10LP,4 Channel Low Capacitance TVS Diode Array,D3V3XA4B10LP,ESD:D3V3XA4B10LP,Packages_DFN_QFN:Diodes_UDFN-10_1.0x2.5mm_P0.5mm,Diodes,D3V3XA4B10LP,https://www.mouser.es/es/ProductDetail/Diodes-Incorporated/D3V3XA4B10LP-7?qs=gZXFycFWdAPojYkoyRsLeQ%3D%3D,,,,,TVS diode array bidirectional (4 channel),5 V,9.4 V,4 A,0.28 pF,U-DFN2510-10,-55 to +150 C,Yes,https://www.diodes.com/assets/Datasheets/D3V3XA4B10LP.pdf,AMR,2026-08-29,,,,ESD protection for the SWD connector,"0,3700","0,1770","0,1430","0,1160","0,1010",,
