IPN,Part Number,Description,Value,Symbol,Symbol Revision,Footprint,Footprint Revision,Manufacturer,Manufacturer Part Number,Suplier URL,Manufacturer Alternative,MPN Alternative,Manufacturer Alternative 2,MPN Alternative 2,Type,Poles,Throws,Force,Travel,Rating,Package,Mounting,RoHS,Datasheet,Created By,Created On,Approved By,Approved On,Revision,Cycle Life,Comments,Cost_1,Cost_10,Cost_100,Cost_500,Cost_1000,Cost_2500,Cost_5000
IPN_SW-????,EVQPUB02K,Side-actuated SMD tactile switch,EVQPUB02K,Button_Switch:SW_Push_Dual_NO,1,Button_Switch:Panasonic_EVQPUK_EVQPUB,1,Panasonic,EVQPUB02K,https://www.mouser.es/es/ProductDetail/Panasonic-Industry/EVQ-PUB02K?qs=wX5mvoJE4NFB9NRYXUMGnA%3D%3D,,,,,"Tactile switch, side (lateral) actuation, snap-action",1,1,2.2 N,0.3 mm,10uA @ 2V DC to 50mA @ 12V DC (resistive load); contact resistance <=500 mOhm,4.7 x 4.5 x 1.65 mm SMD,SMD,Yes,https://industry.panasonic.com/ac/cdn/e/control/switch/light-touch/catalog/sw_lt_eng_smalls_side.pdf,AMR,2026-08-29,,,1,100000,"Side-actuated (lateral push) SMD tactile switch, SPST snap-action","0,482","0,429","0,358","0,312","0,303",,
IPN_SW-0001,EVQP7A01P,Side-actuated SMD tactile switch,EVQP7A01P,Button_Switch:SW_Push_Dual_NO,1,Button_Switch:Panasonic_EVQP7K_EVQP7A,1,Panasonic,EVQP7A01P,https://www.mouser.es/es/ProductDetail/Panasonic-Industry/EVQ-P7A01P?qs=rJ%252BziJWpysz7n3C20u6WAw%3D%3D,,,,,"Tactile switch, side (lateral) actuation, snap-action",1,,2.2 N,0.2 mm,,3.5 × 2.9 x 1.35 mm SMD,SMD,Yes,https://www.tti.com/content/dam/tti-commons/supplier/panasonic/ecom/panasonic-3529s-side-series-datasheet.pdf,AMR,2026-08-29,,,1,100000,Side-operational SMD 3.5 mm × 2.9 mm ,"0,249","0,218","0,182","0,16","0,151",,
