IPN,Part Number,Description,Value,Symbol,Symbol Revision,Footprint,Footprint Revision,Manufacturer,Manufacturer Part Number,Suplier URL,Manufacturer Alternative,MPN Alternative,Manufacturer Alternative 2,MPN Alternative 2,Series,Type,Inductance,Tolerance,Ir,Isat,DCR,SRF,Q,Package,Mounting Height,Core,Shielded,TempRange,Lifecycle,RoHS,Datasheet,Created By,Created On,Approved By,Approved On,Revision,Comments,Cost_1,Cost_10,Cost_100,Cost_500,Cost_1000,Cost_2500,Cost_5000
IPN_L-????,L0805_240nH_5.2A_±20%_20mOhm,FIXED IND 240NH 5.2A 20 MOHM SMD,240nH,Inductor:L,1,Inductors:L_0805_2012Metric,1,Murata Electronics,DFE21CCNR24MELL,https://www.digikey.es/en/products/detail/murata-electronics/DFE21CCNR24MELL/15912577,,,,,DFE21CCN_EL,"Drum Core, Wirewound",240 nH,±20%,5.2 A,6.5A,20mOhm Max,,,805,"0.031"" (0.80mm)",Metal,Shielded,-40°C ~ 125°C,Activo,,https://pim.murata.com/asset/pim4/inductor/JETE243A-0052_PDF_INDUCTOR,AMR,06/09/2026,,,1,,0.28,,,,,,
IPN_L-????,L0805_470nH_4.1A_±20%_29mOhm,FIXED IND 470NH 4.1A 29 MOHM SMD,470nH,Inductor:L,1,Inductors:L_0805_2012Metric,1,Murata Electronics,DFE21CCNR47MELL,https://www.digikey.es/en/products/detail/murata-electronics/DFE21CCNR47MELL/15912576,,,,,DFE21CCN_EL,"Drum Core, Wirewound",470 nH,±20%,4.1 A,4.8A,29mOhm Max,,,805,"0.031"" (0.80mm)",Metal,Shielded,-40°C ~ 125°C,Activo,,https://pim.murata.com/asset/pim4/inductor/JETE243A-0052_PDF_INDUCTOR,AMR,06/09/2026,,,1,,0.28,,,,,,
IPN_L-????,L0806_1uH_2.2A_±20%_60mOhm,FIXED IND 1UH 2.2A 60 MOHM SMD,1uH,Inductor:L,1,Inductors:L_0806_2016Metric,1,Murata Electronics,DFE201612PD-1R0M=P2,https://www.digikey.es/en/products/detail/murata-electronics/DFE201612PD-1R0M-P2/9559545,,,,,DFE201612P,"Drum Core, Wirewound",1 µH,±20%,2.2 A,2.7A,60mOhm Max,,,806,"0.047"" (1.20mm)",Metal,Shielded,-40°C ~ 125°C,Activo,,https://pim.murata.com/asset/pim4/inductor/J(E)TE243A-9101_PDF_INDUCTOR,AMR,06/09/2026,,,1,,0.36,,,,,,
IPN_L-????,L0806_470nH_3.2A_±20%_32mOhm,FIXED IND 470NH 3.2A 32 MOHM SMD,470nH,Inductor:L,1,Inductors:L_0806_2016Metric,1,Murata Electronics,DFE201612PD-R47M=P2,https://www.digikey.es/en/products/detail/murata-electronics/DFE201612PD-R47M-P2/9559551,,,,,DFE201612P,"Drum Core, Wirewound",470 nH,±20%,3.2 A,3.8A,32mOhm Max,,,806,"0.047"" (1.20mm)",Metal,Shielded,-40°C ~ 125°C,Activo,,https://pim.murata.com/asset/pim4/inductor/J(E)TE243A-9101_PDF_INDUCTOR,AMR,06/09/2026,,,1,,0.36,,,,,,
IPN_L-????,L0806_2.2uH_1.2A_±20%_172mOhm,FIXED IND 2.2UH 1.2A 172 MOHM,2.2uH,Inductor:L,1,Inductors:L_0806_2016Metric,1,Murata Electronics,DFE201612PD-2R2M=P2,https://www.digikey.es/en/products/detail/murata-electronics/DFE201612PD-2R2M-P2/9559547,,,,,DFE201612P,"Drum Core, Wirewound",2.2 µH,±20%,1.2 A,1.7A,172mOhm Max,,,806,"0.047"" (1.20mm)",Metal,Shielded,-40°C ~ 125°C,Activo,,https://pim.murata.com/asset/pim4/inductor/J(E)TE243A-9101_PDF_INDUCTOR,AMR,06/09/2026,,,1,,0.36,,,,,,
IPN_L-????,L0806_150nH_5.2A_±20%_18mOhm,FIXED IND 150NH 5.2A 18 MOHM SMD,150nH,Inductor:L,1,Inductors:L_0806_2016Metric,1,Murata Electronics,DFE201612PD-R15M=P2,https://www.digikey.es/en/products/detail/murata-electronics/DFE201612PD-R15M-P2/9559548,,,,,DFE201612P,"Drum Core, Wirewound",150 nH,±20%,5.2 A,6.2A,18mOhm Max,,,806,"0.047"" (1.20mm)",Metal,Shielded,-40°C ~ 125°C,Activo,,https://pim.murata.com/asset/pim4/inductor/J(E)TE243A-9101_PDF_INDUCTOR,AMR,06/09/2026,,,1,,0.36,,,,,,
IPN_L-????,L0806_240nH_4A_±20%_22mOhm,FIXED IND 240NH 4A 22 MOHM SMD,240nH,Inductor:L,1,Inductors:L_0806_2016Metric,1,Murata Electronics,DFE201612PD-R24M=P2,https://www.digikey.es/en/products/detail/murata-electronics/DFE201612PD-R24M-P2/9559549,,,,,DFE201612P,"Drum Core, Wirewound",240 nH,±20%,4 A,5A,22mOhm Max,,,806,"0.047"" (1.20mm)",Metal,Shielded,-40°C ~ 125°C,Activo,,https://pim.murata.com/asset/pim4/inductor/J(E)TE243A-9101_PDF_INDUCTOR,AMR,06/09/2026,,,1,,0.36,,,,,,
IPN_L-????,L0806_1.5uH_1.7A_±20%_98mOhm,FIXED IND 1.5UH 1.7A 98 MOHM SMD,1.5uH,Inductor:L,1,Inductors:L_0806_2016Metric,1,Murata Electronics,DFE201612PD-1R5M=P2,https://www.digikey.es/en/products/detail/murata-electronics/DFE201612PD-1R5M-P2/9559546,,,,,DFE201612P,"Drum Core, Wirewound",1.5 µH,±20%,1.7 A,2A,98mOhm Max,,,806,"0.047"" (1.20mm)",Metal,Shielded,-40°C ~ 125°C,Activo,,https://pim.murata.com/asset/pim4/inductor/J(E)TE243A-9101_PDF_INDUCTOR,AMR,06/09/2026,,,1,,0.38,,,,,,
IPN_L-????,L0806_680nH_2.5A_±20%_46mOhm,FIXED IND 680NH 2.5A 46 MOHM SMD,680nH,Inductor:L,1,Inductors:L_0806_2016Metric,1,Murata Electronics,DFE201612PD-R68M=P2,https://www.digikey.es/en/products/detail/murata-electronics/DFE201612PD-R68M-P2/9559552,,,,,DFE201612P,"Drum Core, Wirewound",680 nH,±20%,2.5 A,3.1A,46mOhm Max,,,806,"0.047"" (1.20mm)",Metal,Shielded,-40°C ~ 125°C,Activo,,https://pim.murata.com/asset/pim4/inductor/J(E)TE243A-9101_PDF_INDUCTOR,AMR,06/09/2026,,,1,,0.38,,,,,,
IPN_L-????,L1210_2.2uH_2.6A_±20%_66mOhm,FIXED IND 2.2UH 2.6A 66 MOHM SMD,2.2uH,Inductor:L,1,Inductors:L_1210_3225Metric,1,Murata Electronics,DFE322512F-2R2M=P2,https://www.digikey.es/en/products/detail/murata-electronics/DFE322512F-2R2M-P2/9815914,,,,,DFE322512F,"Drum Core, Wirewound",2.2 µH,±20%,2.6 A,3.4A,66mOhm Max,,,1210,"0.047"" (1.20mm)",Metal,Shielded,-40°C ~ 125°C,Activo,,https://pim.murata.com/asset/pim4/inductor/J(E)TE243A-0019_PDF_INDUCTOR,AMR,06/09/2026,,,1,,0.39,,,,,,
