IPN,Part Number,Description,Value,Symbol,Footprint,Manufacturer,Manufacturer Part Number,Suplier URL,Manufacturer Alternative,MPN Alternative,Manufacturer Alternative 2,MPN Alternative 2,Type,Polarity,Vds,Id,RdsOn,hFE,Qg,Package,Power,TempRange,RoHS,Datasheet,Created By,Created On,Approved By,Approved On,Revision,Comments,Cost_1,Cost_10,Cost_100,Cost_500,Cost_1000,Cost_2500,Cost_5000
IPN_Q-????,NTK3134N,"small-signal N-channel MOSFET with integrated ESD protection, SOT-723",NTK3134N,Transistors:Q_NMOS_GSD,Packages_TO_SOT:SOT-723,onsemi,NTK3134N,https://www.mouser.es/es/ProductDetail/onsemi/NTK3134NT5G?qs=g97OBWmz8%2FWdltr4eSy1YA%3D%3D,,,,,"Small-signal MOSFET, ESD protected",N,20 V,750 mA (Ta),"350 mOhm max @ VGS=4.5V, ID=890mA",,,"SOT-723 (1.2x1.2mm, 0.5mm height)",550 mW,-55 to +150 C,Yes,https://www.onsemi.com/pdf/datasheet/ntk3134n-d.pdf,AMR,2026-08-29,,,,,"0,292","0,125","0,108","0,086","0,075","0,067","0,039"
IPN_Q-????,NTK3139P,"small-signal P-channel MOSFET with integrated ESD protection, SOT-723",NTK3139P,Transistors:Q_PMOS_GSD,Packages_TO_SOT:SOT-723,onsemi,NTK3139P,https://www.mouser.es/es/ProductDetail/onsemi/NTK3139PT3G?qs=4dK74SdgGtxwhkNc6C5TjA%3D%3D,,,,,"Small-signal MOSFET, ESD protected",P,-20 V,-660 mA (Ta),"480 mOhm max @ VGS=-4.5V, ID=-780mA",,,"SOT-723 (1.2x1.2mm, 0.5mm height)",450 mW,-55 to +150 C,Yes,https://www.onsemi.com/pdf/datasheet/ntk3139p-d.pdf,AMR,2026-08-29,,,,,"0,181","0,109","0,085","0,081","0,077","0,073","0,071"
